,mean,std
theta_bandpower_kurtosis_F_N2,7.856457762190138,2.7584588452535876
theta_bandpower_kurtosis_C_N2,7.461629647069633,2.557440097935676
alpha_bandpower_kurtosis_F_N2,8.416484705348134,3.1110934590478547
alpha_bandpower_kurtosis_C_N2,7.331548845218255,2.598450884717438
kurtosis_N2_C,2.851092497023542,1.3491099771785586
delta_theta_mean_C_N3,1.22491537274395,0.45818590815469407
delta_alpha_mean_C_N3,1.3439907220050094,0.5484106262781451
delta_theta_mean_F_N3,1.4010068662248942,0.5753946463698042
kurtosis_N2_F,4.057340699054148,1.8418108186581783
delta_alpha_mean_F_N3,1.5192917477170573,0.6738979307184181
delta_bandpower_mean_F_N3,1.6420523754064833,0.7574597392097061
COUPL_OVERLAP_F,367.86069482288826,208.45468148177855
delta_bandpower_mean_C_N3,1.4450003263584623,0.6187039151843917
DENS_F,4.136727713860762,1.980325423000174
theta_bandpower_kurtosis_C_N3,5.364340489635001,2.045927946977674
delta_bandpower_kurtosis_C_N2,17.017404035340782,4.071175847325292
delta_theta_mean_O_N3,0.9388585759870495,0.3528477197254944
kurtosis_N3_C,1.08606488260807,0.5764820783084389
delta_alpha_mean_O_N3,1.045999530998362,0.4174867039430067
COUPL_OVERLAP_C,366.3024523160763,191.7161412670409
delta_bandpower_mean_O_N3,1.1071041624451459,0.46135726933719723
delta_bandpower_kurtosis_F_N2,19.59182007520427,4.332071122741719
DENS_C,4.513583134463465,1.9115998094439544
sigma_bandpower_kurtosis_C_N2,15.19650523554059,4.749287020841853
alpha_bandpower_kurtosis_O_N2,6.75490630799879,2.375084750882498
alpha_bandpower_mean_C_N1,0.06819290386687375,0.047435647332004977
theta_alpha_mean_O_N1,0.08669610316179417,0.04545231037065171
alpha_bandpower_mean_F_N1,0.0544482066805273,0.04578901442318668
